,Date,Position,Track Name,Artist,Featured Artists
418,2017-02-16,13,Seaside,Wolf and Willow,
419,2017-02-16,46,Baby I'm a Star,Prince,
420,2017-02-16,47,Gett Off,Prince,
421,2017-02-17,32,Don't Let Me Go,Fluencie,
422,2017-02-17,43,Delirious,Prince,
423,2017-02-17,45,Cream,Prince,
424,2017-02-17,46,Take Me with U,Prince,
425,2017-02-17,49,Soft and Wet,Prince,
426,2017-02-17,50,Cops Come Looking,SPIRIT OF THE BEEHIVE,
427,2017-02-18,47,Insatiable,Prince,
428,2017-02-18,49,She's Always in My Hair,Prince,
429,2017-02-19,46,Where Do We Go,Mos Isley,
430,2017-02-19,47,Same Red,"Leonell Cassio, Anne Lan",
431,2017-02-19,50,If I Was Your Girlfriend,Prince,
432,2017-02-20,1,Some Way,"NAV, The Weeknd",
433,2017-02-20,2,It Ain't Me (with Selena Gomez),Kygo,
434,2017-02-20,4,Heavy (feat. Kiiara),Linkin Park,Kiiara
435,2017-02-20,8,Love,Lana Del Rey,
436,2017-02-20,9,How Would You Feel (Paean),Ed Sheeran,
437,2017-02-20,10,Cold,"Maroon 5, Future",
438,2017-02-20,13,All On Me,Devin Dawson,
439,2017-02-20,14,Friend Zone,Thundercat,
440,2017-02-20,16,Shining,"DJ Khaled, Beyoncé, JAY-Z",
441,2017-02-20,20,High,Little Dragon,
442,2017-02-20,22,Machine,MisterWives,
443,2017-02-20,26,Suit And Jacket,Judah & the Lion,
444,2017-02-20,27,Nimble Bastard,Incubus,
445,2017-02-20,34,Shooting Stars,Bag Raiders,
446,2017-02-20,39,Dirty Laundry,All Time Low,
447,2017-02-20,41,Only the Wild Ones,Dispatch,
448,2017-02-20,43,Flow,Crooked Colours,
449,2017-02-20,46,God Only Knows (feat. yMusic),"John Legend, Cynthia Erivo",yMusic
